ясне-пекнай,1
абое,1
навукі,1
акне,1
бач,1
першыня,1
маўчаць,1
цмокам,1
манякоўскі,1
падшахнула,1
эгэ,1
тыцкайся,1
агарнула,1
падушачкі,1
следам,1
закрыстыян,1
сэрцайкі,1
вытрываласць,1
зыгуюць,1
правы,1
разлучаць,1
пашчапаю,1
паўвярсты,1
шклянку,1
ламака,1
самага,1
акуратна,1
паненкай,1
смеласці,1
пашле,1
раскажа,1
досвіта,1
янка,1
бойцеся,1
пабойся,1
хаджу,1
забылася,1
выпі,1
ты-сяч,1
курсы,1
бязбожнікам,1
седзячы,1
апошнія,1
ахмістрыня,1
умомант,1
захочаш,1
дрэнна,1
бачыць,1
стварыць,1
тысячаў,1
бабскае,1
кашай,1
кратайце,1
самае,1
угоніш,1
сасонку,1
ат,1
зайграюць,1
прыносіў,1
пераліваць,1
вамі,1
барнашоў,1
манаполька,1
робіцца,1
кабыле,1
гэткага,1
высвенчу,1
мёйца,1
левую,1
задасць,1
выберуць,1
нажалі,1
дахаты,1
голэмбі,1
ездзіць,1
пошасці,1
збівацца,1
зламаў,1
рыба,1
пахі,1
хочаш,1
сумна-сумненькую,1
прыкархну,1
закуру,1
суконкі,1
замарудзіў,1
данясці,1
пакупкі,1
знюхаў,1
блін,1
гэтымі,1
ані,1
уцёк,1
спяшацца,1
сабраўся-такі,1
цяперашняй,1
сватаўся,1
двух,1
пагаварыць,1
па-хрысціянску,1
уважаеш,1
абышло,1
падатлівая,1
выкінуў,1
патрапяць,1
цкуюць,1
хату,1
турбуйцеся,1
пабачыцца,1
повен,1
вырабляй,1
зблыша,1
голы,1
любасць,1
шапкі,1
падышла,1
прыедзьце,1
пакровая,1
вернуць,1
канец,1
сяго-таго,1
табаку,1
намурзаўся,1
работы,1
кудой,1
разгаварыцца,1
нале-жыць,1
недзе,1
поўнач,1
чапялу,1
капусты,1
музыканцікі,1
прыедуць,1
няшчасны,1
канаючаму,1
заедуся,1
слухаць,1
пацішэла,1
выжыву,1
гаворыце,1
панскую,1
пачуюць,1
просіце,1
між,1
сароку,1
прасіце,1
зверху,1
бацечка,1
прыпечкам,1
падышлі,1
гадаўка,1
чытаюць,1
вечар,1
ламаку,1
будзь,1
смачна,1
мазгі,1
ай-я-я,1
часе,1
пачаканкамі,1
хлеб,1
памалу,1
нясу,1
дзяўчына,1
прыйсці,1
мучаць,1
жывёліна,1
ненавісці,1
выгадна,1
пшыдусіць,1
твару,1
карчма,1
спачатку,1
нядобрая,1
калоду,1
звання,1
памагчы,1
гандаль,1
кемкая,1
дайце,1
ро-дзяцца,1
войска,1
кленчыць,1
прыглядаліся,1
цэлы,1
якога-такога,1
рада,1
прось-бы,1
глядзіш,1
завядзі,1
страшэнна,1
дыхавіцу,1
цікавая,1
дачкою,1
усыпаўшы,1
супакойцеся,1
трухлявую,1
салгаў,1
пай-шло,1
дваццаць,1
настаяшчае,1
набажэн-ства,1
правую,1
аскому,1
плячыма,1
дарэмшчыны,1
пырсь,1
сораму,1
пазухай,1
зважае,1
скамандую,1
пляшкамі,1
верхнюю,1
татам,1
вадою,1
акна,1
выходзіць,1
думае,1
гавораць,1
давалокся,1
даваў,1
маліў,1
рэжце,1
суседкі,1
пазнала,1
злыдні,1
бацькаўскае,1
кроплі,1
маслам,1
пала,1
манчыза,1
біць,1
выпіце,1
музыкаў,1
садзе,1
напілася,1
свеціць,1
разнесці,1
ёзна,1
засталося,1
паслухмяны,1
узяліся,1
лявоніха,1
паглядзіце,1
прыслухоўвайся,1
варта,1
вясёлая,1
саколіка,1
місцы,1
гуляю,1
сыплюць,1
жаніць,1
сэрца,1
пугай,1
выбачай,1
далі,1
паехала,1
пачатку,1
чацвер,1
ясне-панна,1
калядкі,1
ажаніўся,1
зводзіць,1
песеньку,1
тупай,1
панскай,1
плюнь,1
часіну,1
кладзіся,1
яніцай,1
матаецца,1
дурню,1
перарабіць,1
неба,1
вельмі-вельмі,1
тысяч,1
лабэндзі,1
умовай,1
забаўляйся,1
мною,1
падзі-кварта,1
палавіне,1
патрэбнейшае,1
вернуцца,1
злуплю,1
зрабіўся,1
лжэш,1
гаспадаром,1
адэльцы,1
елі,1
пазбыўся,1
абнюхаць,1
ударыць,1
паспее,1
скоры,1
паскрэбкі,1
злюбіліся,1
афішкі,1
брата,1
блазнота,1
празэнты,1
стараюся,1
вашымі,1
усё-такі,1
далёка,1
бяскрылая,1
зорачку,1
правільна,1
каляндар,1
цемната,1
бывайце,1
нядрэнная,1
акном,1
гілююць,1
паслязаўтра,1
нямая,1
заедзеце,1
ажэніцеся,1
захацела,1
завецца,1
жалець,1
глядзіць,1
любіш,1
цялё,1
вір,1
гад,1
забывайся,1
лятаюць,1
хваліўся,1
круцяцца,1
панімаю,1
іце,1
прынясу,1
ехаў,1
сяк-так,1
жыў,1
хлапец,1
калёсах,1
вар,1
сукенкі,1
прыгатую,1
грошы,1
наўчуся,1
ігнась,1
спагоніш,1
бяжыце,1
папом,1
кут,1
гарачай,1
запяеш,1
перачакаем,1
цьфу,1
сваякі,1
барысава,1
нажыць,1
ненагляднае,1
надумалася,1
гіцлёўка,1
заблу-дзіла,1
садзіцеся,1
дудку,1
паны,1
пакажыце,1
пастушка,1
братка,1
сына,1
цап,1
рукамі,1
нарабіў,1
духу,1
негадзяй,1
пазваляю,1
пацалаваць,1
услужлівыя,1
жартуе,1
скакель,1
пшымусіць,1
кудзеляй,1
лас,1
усяму,1
залежаць,1
патульны,1
густа,1
пытаюся,1
выдзеўбеш,1
бабу,1
выпіла,1
кім-колечы,1
вязе,1
соліш,1
слухаем,1
чаравічкі,1
любуйся,1
загубіць,1
піша,1
любім,1
трубіць,1
зайграе,1
уцечка,1
гарэтыкам,1
пані,1
укленчылі,1
мачыляпа,1
спець,1
явіўся,1
замок,1
бачыў,1
жартачкі,1
наліха,1
н-нуу,1
паказацца,1
прыпеўкі,1
глянуць,1
мужыцкіх,1
цэлага,1
пытання,1
тваё,1
шэльмы,1
пазычылі,1
парой,1
роднай,1
адкуль,1
дамчыць,1
следу,1
удалася,1
панёс,1
горкай,1
успарола,1
круціш,1
вады,1
пуста,1
гаспадару,1
вы-п,1
гарбатай,1
траціць,1
выўчу,1
кавалёвыя,1
пачастую,1
самое,1
вандзонкай,1
яніца,1
пакровы,1
сена,1
галава,1
кабылы,1
пытаешся,1
ёю,1
піць,1
блізка-то,1
бегаць,1
дуб,1
слядоў,1
зямелькай,1
сабакам,1
душа,1
жывёліну,1
ненавісніка,1
грэшных,1
звяжам,1
цікавасць,1
дачкі,1
вытрымаў,1
першыя,1
прынукі,1
гаротная,1
слова,1
полькі,1
табурэцікі,1
нагаварыў,1
ножка,1
няўмысле,1
шэршня,1
забярэце,1
здыхаць,1
прытычкамі,1
разумненькі,1
ненавідзяць,1
іншага,1
мысль,1
мілей,1
кеміш,1
намазоляць,1
падноскаў,1
выйшла,1
прашу,1
прыціснулі,1
дойная,1
якраз,1
штось,1
стале,1
паўкладаюцца,1
галавою,1
цяжанькай,1
заглянуць,1
чарнабрывы,1
няўжо,1
бок,1
цікавым,1
свеце,1
злога,1
пасядзі,1
падушкі,1
сходзіць,1
кідаюцца,1
падмазаў,1
адна,1
поўначы,1
нагу,1
захоча,1
родным,1
прадання,1
лукашонак,1
госці,1
прайшоў,1
летам,1
сваіх,1
шыю,1
гвалтам,1
аконца,1
выпхнула,1
разумееш,1
закалола,1
голас,1
падлабуньваецца,1
злучыць,1
пакута-ваць,1
апоўначы,1
скончылася,1
добрая,1
тахты,1
ахвота,1
